c16362	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
c16205	CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
c19592	CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
c16997	CNCC[C@@H](Oc1ccccc1C)c1ccccc1
c17391	CCOC(=O)c1cncn1[C@H](C)c1ccccc1
c19593	Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
c16534	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
c17609	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
c17475	CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
c17479	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
c16217	Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
c19594	Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
c17570	CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
c16848	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
c19595	NC[C@H]1CC[C@H](C(=O)O)CC1
c16300	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
c16916	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
c17604	C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
c17544	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
c17382	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
c16759	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
c17257	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
c16939	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
c16689	CCCC(CCC)C(=O)O
c17547	CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
c17066	CC(=O)Nc1ccc(O)cc1
c16905	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
c16433	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
c16849	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
c16371	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
c16953	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
c19598	Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
c16704	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
c16329	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
c17569	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
c19600	CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
c16344	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
c16708	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
c17372	COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
c17546	CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
c13613	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
c19601	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
c16966	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
c16540	CNCCCC1c2ccccc2C=Cc2ccccc21
c16794	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
c16968	CN1C(=O)OC(C)(C)C1=O
c17064	O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
c16940	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
c19602	Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
